input,chain_of_thought,output
A car moves at 117 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 117 × 4 =,468 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 312 + 315?,Adding 312 to 315 gives...,627
What is 312 - 315?,Subtracting 315 from 312 leaves...,-3
What is 312 × 315?,Multiplying 312 by 315 results in...,98280
What is 312 ÷ 315?,Dividing 312 by 315 gives...,0.99
If I have 5 apples and get 5 more...,5 apples + 5 apples = total...,10 apples
"Find the next number in the sequence: [7, 16, 24, 12]","The pattern increases by 9, so the next number is...",19
A car moves at 39 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 39 × 5 =,195 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 575 + 141?,Adding 575 to 141 gives...,716
What is 575 - 141?,Subtracting 141 from 575 leaves...,434
What is 575 × 141?,Multiplying 575 by 141 results in...,81075
What is 575 ÷ 141?,Dividing 575 by 141 gives...,4.08
If I have 14 apples and get 6 more...,14 apples + 6 apples = total...,20 apples
"Find the next number in the sequence: [2, 16, 21, 36]","The pattern increases by 14, so the next number is...",49
A car moves at 61 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 61 × 1 =,61 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 192 + 482?,Adding 192 to 482 gives...,674
What is 192 - 482?,Subtracting 482 from 192 leaves...,-290
What is 192 × 482?,Multiplying 192 by 482 results in...,92544
What is 192 ÷ 482?,Dividing 192 by 482 gives...,0.4
If I have 8 apples and get 10 more...,8 apples + 10 apples = total...,18 apples
"Find the next number in the sequence: [3, 4, 15, 4]","The pattern increases by 1, so the next number is...",16
A car moves at 78 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 78 × 3 =,234 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 991 + 259?,Adding 991 to 259 gives...,1250
What is 991 - 259?,Subtracting 259 from 991 leaves...,732
What is 991 × 259?,Multiplying 991 by 259 results in...,256669
What is 991 ÷ 259?,Dividing 991 by 259 gives...,3.83
If I have 17 apples and get 8 more...,17 apples + 8 apples = total...,25 apples
"Find the next number in the sequence: [7, 8, 21, 4]","The pattern increases by 1, so the next number is...",16
A car moves at 117 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 117 × 5 =,585 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 727 + 410?,Adding 727 to 410 gives...,1137
What is 727 - 410?,Subtracting 410 from 727 leaves...,317
What is 727 × 410?,Multiplying 727 by 410 results in...,298070
What is 727 ÷ 410?,Dividing 727 by 410 gives...,1.77
If I have 7 apples and get 10 more...,7 apples + 10 apples = total...,17 apples
"Find the next number in the sequence: [3, 20, 21, 36]","The pattern increases by 17, so the next number is...",42
A car moves at 42 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 42 × 2 =,84 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 371 + 752?,Adding 371 to 752 gives...,1123
What is 371 - 752?,Subtracting 752 from 371 leaves...,-381
What is 371 × 752?,Multiplying 371 by 752 results in...,278992
What is 371 ÷ 752?,Dividing 371 by 752 gives...,0.49
If I have 9 apples and get 3 more...,9 apples + 3 apples = total...,12 apples
"Find the next number in the sequence: [8, 16, 9, 32]","The pattern increases by 8, so the next number is...",33
A car moves at 103 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 103 × 3 =,309 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 579 + 131?,Adding 579 to 131 gives...,710
What is 579 - 131?,Subtracting 131 from 579 leaves...,448
What is 579 × 131?,Multiplying 579 by 131 results in...,75849
What is 579 ÷ 131?,Dividing 579 by 131 gives...,4.42
If I have 4 apples and get 3 more...,4 apples + 3 apples = total...,7 apples
"Find the next number in the sequence: [3, 6, 21, 16]","The pattern increases by 3, so the next number is...",33
A car moves at 67 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 67 × 2 =,134 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 908 + 62?,Adding 908 to 62 gives...,970
What is 908 - 62?,Subtracting 62 from 908 leaves...,846
What is 908 × 62?,Multiplying 908 by 62 results in...,56296
What is 908 ÷ 62?,Dividing 908 by 62 gives...,14.65
If I have 8 apples and get 10 more...,8 apples + 10 apples = total...,18 apples
"Find the next number in the sequence: [2, 20, 21, 16]","The pattern increases by 18, so the next number is...",38
A car moves at 83 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 83 × 3 =,249 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 485 + 415?,Adding 485 to 415 gives...,900
What is 485 - 415?,Subtracting 415 from 485 leaves...,70
What is 485 × 415?,Multiplying 485 by 415 results in...,201275
What is 485 ÷ 415?,Dividing 485 by 415 gives...,1.17
If I have 18 apples and get 2 more...,18 apples + 2 apples = total...,20 apples
"Find the next number in the sequence: [1, 2, 21, 36]","The pattern increases by 1, so the next number is...",16
A car moves at 71 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 71 × 3 =,213 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 790 + 626?,Adding 790 to 626 gives...,1416
What is 790 - 626?,Subtracting 626 from 790 leaves...,164
What is 790 × 626?,Multiplying 790 by 626 results in...,494540
What is 790 ÷ 626?,Dividing 790 by 626 gives...,1.26
If I have 14 apples and get 7 more...,14 apples + 7 apples = total...,21 apples
"Find the next number in the sequence: [3, 8, 21, 28]","The pattern increases by 5, so the next number is...",55
A car moves at 71 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 71 × 5 =,355 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 351 + 240?,Adding 351 to 240 gives...,591
What is 351 - 240?,Subtracting 240 from 351 leaves...,111
What is 351 × 240?,Multiplying 351 by 240 results in...,84240
What is 351 ÷ 240?,Dividing 351 by 240 gives...,1.46
If I have 17 apples and get 5 more...,17 apples + 5 apples = total...,22 apples
"Find the next number in the sequence: [4, 4, 3, 28]","The pattern increases by 0, so the next number is...",15
A car moves at 113 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 113 × 4 =,452 km
What is the capital of France?,The capital city of France is...,Paris
What is 772 + 385?,Adding 772 to 385 gives...,1157
What is 772 - 385?,Subtracting 385 from 772 leaves...,387
What is 772 × 385?,Multiplying 772 by 385 results in...,297220
What is 772 ÷ 385?,Dividing 772 by 385 gives...,2.01
If I have 7 apples and get 3 more...,7 apples + 3 apples = total...,10 apples
"Find the next number in the sequence: [8, 18, 12, 36]","The pattern increases by 10, so the next number is...",40
A car moves at 90 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 90 × 3 =,270 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 914 + 83?,Adding 914 to 83 gives...,997
What is 914 - 83?,Subtracting 83 from 914 leaves...,831
What is 914 × 83?,Multiplying 914 by 83 results in...,75862
What is 914 ÷ 83?,Dividing 914 by 83 gives...,11.01
If I have 17 apples and get 1 more...,17 apples + 1 apples = total...,18 apples
"Find the next number in the sequence: [8, 20, 6, 4]","The pattern increases by 12, so the next number is...",27
A car moves at 112 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 112 × 4 =,448 km
What is the capital of France?,The capital city of France is...,Paris
What is 80 + 916?,Adding 80 to 916 gives...,996
What is 80 - 916?,Subtracting 916 from 80 leaves...,-836
What is 80 × 916?,Multiplying 80 by 916 results in...,73280
What is 80 ÷ 916?,Dividing 80 by 916 gives...,0.09
If I have 2 apples and get 10 more...,2 apples + 10 apples = total...,12 apples
"Find the next number in the sequence: [8, 10, 27, 36]","The pattern increases by 2, so the next number is...",42
A car moves at 74 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 74 × 4 =,296 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 120 + 408?,Adding 120 to 408 gives...,528
What is 120 - 408?,Subtracting 408 from 120 leaves...,-288
What is 120 × 408?,Multiplying 120 by 408 results in...,48960
What is 120 ÷ 408?,Dividing 120 by 408 gives...,0.29
If I have 16 apples and get 3 more...,16 apples + 3 apples = total...,19 apples
"Find the next number in the sequence: [7, 4, 24, 12]","The pattern increases by -3, so the next number is...",2
A car moves at 58 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 58 × 2 =,116 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 538 + 160?,Adding 538 to 160 gives...,698
What is 538 - 160?,Subtracting 160 from 538 leaves...,378
What is 538 × 160?,Multiplying 538 by 160 results in...,86080
What is 538 ÷ 160?,Dividing 538 by 160 gives...,3.36
If I have 14 apples and get 8 more...,14 apples + 8 apples = total...,22 apples
"Find the next number in the sequence: [2, 16, 24, 28]","The pattern increases by 14, so the next number is...",24
A car moves at 84 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 84 × 4 =,336 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 607 + 650?,Adding 607 to 650 gives...,1257
What is 607 - 650?,Subtracting 650 from 607 leaves...,-43
What is 607 × 650?,Multiplying 607 by 650 results in...,394550
What is 607 ÷ 650?,Dividing 607 by 650 gives...,0.93
If I have 20 apples and get 7 more...,20 apples + 7 apples = total...,27 apples
"Find the next number in the sequence: [6, 4, 12, 36]","The pattern increases by -2, so the next number is...",3
A car moves at 57 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 57 × 2 =,114 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 934 + 955?,Adding 934 to 955 gives...,1889
What is 934 - 955?,Subtracting 955 from 934 leaves...,-21
What is 934 × 955?,Multiplying 934 by 955 results in...,891970
What is 934 ÷ 955?,Dividing 934 by 955 gives...,0.98
If I have 2 apples and get 5 more...,2 apples + 5 apples = total...,7 apples
"Find the next number in the sequence: [5, 14, 9, 16]","The pattern increases by 9, so the next number is...",29
A car moves at 118 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 118 × 4 =,472 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 374 + 6?,Adding 374 to 6 gives...,380
What is 374 - 6?,Subtracting 6 from 374 leaves...,368
What is 374 × 6?,Multiplying 374 by 6 results in...,2244
What is 374 ÷ 6?,Dividing 374 by 6 gives...,62.33
If I have 4 apples and get 8 more...,4 apples + 8 apples = total...,12 apples
"Find the next number in the sequence: [10, 6, 12, 4]","The pattern increases by -4, so the next number is...",26
A car moves at 48 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 48 × 2 =,96 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 793 + 947?,Adding 793 to 947 gives...,1740
What is 793 - 947?,Subtracting 947 from 793 leaves...,-154
What is 793 × 947?,Multiplying 793 by 947 results in...,750971
What is 793 ÷ 947?,Dividing 793 by 947 gives...,0.84
If I have 11 apples and get 5 more...,11 apples + 5 apples = total...,16 apples
"Find the next number in the sequence: [5, 20, 30, 16]","The pattern increases by 15, so the next number is...",50
A car moves at 97 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 97 × 2 =,194 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 336 + 541?,Adding 336 to 541 gives...,877
What is 336 - 541?,Subtracting 541 from 336 leaves...,-205
What is 336 × 541?,Multiplying 336 by 541 results in...,181776
What is 336 ÷ 541?,Dividing 336 by 541 gives...,0.62
If I have 8 apples and get 3 more...,8 apples + 3 apples = total...,11 apples
"Find the next number in the sequence: [8, 20, 12, 4]","The pattern increases by 12, so the next number is...",27
A car moves at 100 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 100 × 1 =,100 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 31 + 720?,Adding 31 to 720 gives...,751
What is 31 - 720?,Subtracting 720 from 31 leaves...,-689
What is 31 × 720?,Multiplying 31 by 720 results in...,22320
What is 31 ÷ 720?,Dividing 31 by 720 gives...,0.04
If I have 4 apples and get 9 more...,4 apples + 9 apples = total...,13 apples
"Find the next number in the sequence: [9, 6, 27, 36]","The pattern increases by -3, so the next number is...",42
A car moves at 50 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 50 × 2 =,100 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 444 + 537?,Adding 444 to 537 gives...,981
What is 444 - 537?,Subtracting 537 from 444 leaves...,-93
What is 444 × 537?,Multiplying 444 by 537 results in...,238428
What is 444 ÷ 537?,Dividing 444 by 537 gives...,0.83
If I have 8 apples and get 10 more...,8 apples + 10 apples = total...,18 apples
